method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout,x
BoTorch,0,completed,2.7230429649353027,4,128,GATED,GELU,MAX,ADAM,0.00012633124230122095,1e-05,256,1.8413783900032286,,0.13471250948482832,"[0.729975616156668, 0.48962933838532907, 0.6582753280088223, 0.5277847422813114, 0.2865756202761466, 0.028920399349190773, 0.3671702556248697, 0.4195113336875774, 0.9193578107876558, 0.26942501896965665]"
BoTorch,1,completed,1.2509087324142456,4,64,GATED,TANH,MEAN_MAX,RMSPROP,0.0009558200646023341,0.0001,64,4.995602167997276,,0.023691020551716624,"[0.6612480614794567, 0.22223428197491835, 0.6284440350723821, 0.42006421416723294, 0.5132663198074229, 0.7171890382413664, 0.6601253810009141, 0.5854461014746133, 0.5970565493088679, 0.04738204110343325]"
BoTorch,2,completed,1.4787143468856812,3,128,GRAPH_SAGE,RELU,MEAN,ADAMW,7.77331003903422e-05,0.001,64,18.338341557013337,,0.4181861630994614,"[0.25515731868060465, 0.46632507437243353, 0.37618037826205764, 0.14975952585137375, 0.17703293241799345, 0.3973691170357442, 0.2968686633059404, 0.7832426218905517, 0.5521972546667893, 0.8363723261989228]"
BoTorch,3,completed,1.8737207651138306,4,128,GCN,ELU,MAX,RMSPROP,0.0007652701763653704,0.01,128,6.83414603798883,,0.0031035884765752697,"[0.7420453739860193, 0.5347293786637508, 0.13311605492737466, 0.8010399249364886, 0.2780998722811613, 0.6974905018675485, 0.6279382628680256, 0.9266712305861798, 0.6401932520451822, 0.006207176953150539]"
BoTorch,4,completed,11.174066543579102,3,32,GRAPH_SAGE,ELU,MEAN_MAX,ADAMW,0.001049884373962799,1e-05,64,1.3129339989973232,,0.3975962639526598,"[0.2930959297621186, 0.12204048626425268, 0.34590849882109553, 0.7691615579239808, 0.7024634851811923, 0.4563801615051385, 0.6737138239709306, 0.4243125075862664, 0.5650772591150929, 0.7951925279053196]"
BoTorch,5,completed,3.5613062381744385,5,64,GAT,GELU,MEAN,SGD,9.281298731029631e-05,0.0001,256,8.119273388001602,,0.08847233353697459,"[0.9781397416300732, 0.39491191660524516, 0.5483985164032568, 0.6080061858502118, 0.0016237747999295893, 0.9066445851262791, 0.32253625041545975, 0.5638100328883897, 0.8050504055128919, 0.17694466707394918]"
BoTorch,6,completed,2.875579833984375,3,128,GIN,GELU,MEAN,ADAM,3.325580141410122e-05,0.0001,32,3.142231502017239,,0.41525042629979775,"[0.367435397175246, 0.510115149028879, 0.8500424867254536, 0.5869209915274671, 0.13251398162914196, 0.042408532077335526, 0.17395580604367367, 0.5618137020585553, 0.25334868292745927, 0.8305008525995955]"
BoTorch,7,completed,3.396827459335327,2,512,GIN,ELU,MAX,ADAMW,3.497760094498299e-05,0.01,256,0.4944937960244715,,0.15311069517344678,"[0.11631841132011633, 0.9405492874325149, 0.8993063333051087, 0.9359849259529534, 0.27190372851828193, 0.4438963029304924, 0.1812633395445432, 0.8528827802515035, 0.9427450955177561, 0.30622139034689355]"
BoTorch,8,completed,3.715757131576538,4,64,GCN,TANH,MEAN,SGD,0.0019339943251714619,1e-06,256,1.534300865023397,,0.3147787905442146,"[0.6578518453356295, 0.29357745881100805, 0.024247836351083185, 0.38604944878045055, 0.17053950267288165, 0.954979360178264, 0.7621517318063304, 0.30171979614063316, 0.9343507211116884, 0.6295575810884292]"
BoTorch,9,completed,4.559219837188721,3,256,GAT,TANH,MEAN,ADAM,5.770802657815354e-05,0.0001,256,0.8154533530178014,,0.23609489338482592,"[0.47328396678052453, 0.7097670446777842, 0.4264606869247025, 0.42017493812842865, 0.04115887885262126, 0.16765947548562754, 0.253745407713745, 0.6645290760624004, 0.9814812716093538, 0.47218978676965184]"
