method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout,x
Random,0,completed,3.7021260261535645,3,128,GAT,TANH,MAX,ADAMW,0.00013157188966760204,1e-05,64,4.35041998399538,,0.4490833803856282,"[0.4955803415949054, 0.46759208272918285, 0.4040681935017111, 0.28903100836393014, 0.2735156605913933, 0.31072687190722004, 0.373054370726159, 0.48847120540964417, 0.46706822263602876, 0.8981667607712563]"
Random,1,completed,3.566621780395508,3,128,GIN,TANH,MAX,SGD,0.0036676682311498105,1e-05,32,2.399450730998069,,0.13983908629396546,"[0.460837515301848, 0.40975471766977156, 0.998002342474066, 0.27833214466844103, 0.2670983406754288, 0.9024373248672768, 0.8547966811642203, 0.4432643093869346, 0.20726490265849806, 0.27967817258793093]"
Random,2,completed,2.0584120750427246,5,64,GIN,RELU,MEAN,RMSPROP,1.4398414049975937e-05,0.0001,128,14.48031124699628,,0.2935920151260172,"[0.8649466300607492, 0.3199147808948285, 0.803413955803024, 0.07512476961921277, 0.168706539389885, 0.5881996235627921, 0.052771552752218454, 0.6595210207552494, 0.6102598822312804, 0.5871840302520344]"
Random,3,completed,0.8960897922515869,4,128,GIN,RELU,ADD,ADAM,0.0002198918817422624,0.0001,256,3.9794661329942755,,0.3871101871067132,"[0.6487983646737226, 0.43806095280107893, 0.8564381494109315, 0.11112939336980066, 0.8267071535488266, 0.06230542949873852, 0.4474030652672685, 0.6221675238073978, 0.9940120626299982, 0.7742203742134264]"
Random,4,completed,2.1596016883850098,2,32,GCN,RELU,ADD,SGD,2.1745033494055012e-05,0.001,256,4.463346695003565,,0.04478828314497835,"[0.1529801219716056, 0.03142996093813433, 0.1441193275572319, 0.013057718349402947, 0.796537008390996, 0.9922317630003902, 0.11245336031641795, 0.7172880071301216, 0.8198629698018142, 0.0895765662899567]"
Random,5,completed,4.048693656921387,4,128,GIN,GELU,MAX,RMSPROP,8.330426022698245e-05,1e-06,16,5.420254115015268,,0.21242779853642013,"[0.7336690916470796, 0.597651031427538, 0.8252962678988099, 0.648902120704266, 0.3562427579677693, 0.6956884695863731, 0.3068890706800512, 0.17292591085023112, 0.056394836890631406, 0.42485559707284026]"
Random,6,completed,1.0022459030151367,2,32,GATED,RELU,ADD,ADAM,0.0003234152436580321,0.0,16,12.672588484012522,,0.044134903156475225,"[0.0542029003634702, 0.12365667096975996, 0.6642173118837859, 0.1472280601958088, 0.7773344335766551, 0.14495694208891508, 0.5032534952752108, 0.0014662246758206932, 0.1128272776150474, 0.08826980631295045]"
Random,7,completed,3.9995346069335938,2,32,GIN,TANH,MAX,RMSPROP,0.0017047591384770269,1e-05,128,0.5425643080088776,,0.30153394935795624,"[0.1309431318975871, 0.11479067713524882, 0.8580964043369814, 0.2990183314083832, 0.46242894607363505, 0.6205949637635285, 0.7438876757293157, 0.4287313079714331, 0.7317597301495079, 0.6030678987159125]"
Random,8,completed,3.3427252769470215,4,128,GIN,ELU,MAX,ADAM,0.005659626829839419,1e-05,32,2.867750520003028,,0.2328002506524524,"[0.5474920822017425, 0.43935425533881145, 0.8540551878509633, 0.8324437876191728, 0.2512412238867806, 0.024588027528877898, 0.9175959322403557, 0.38071325386744304, 0.3908505605786654, 0.4656005013049048]"
Random,9,completed,1.4005777835845947,3,128,GAT,ELU,ADD,ADAMW,0.006737781877795335,0.01,32,11.942778227996314,,0.18324728758486025,"[0.31206441502063487, 0.5211112597788051, 0.4798363352430898, 0.9103947952895357, 0.8297931409940491, 0.44313898539129615, 0.9428389824859754, 0.9892903052122606, 0.20265332027767735, 0.3664945751697205]"
