method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,0,completed,7.325296878814697,2,32,GAT,ELU,MEAN_MAX,ADAMW,1.0368450701720048e-05,0.0001,128,6.768052,,0.47112798632364755
Optuna-tpe,1,completed,5.1113739013671875,4,256,GIN,RELU,MEAN_MAX,ADAM,0.0008794578619623669,1e-05,32,3.157888,,0.3770269348365835
Optuna-tpe,2,completed,1.3310686349868774,5,32,GAT,ELU,ADD,RMSPROP,0.0018795580316040767,1e-05,64,8.370766,,0.2277198069659585
Optuna-tpe,3,completed,1.0343844890594482,3,32,GAT,RELU,ADD,ADAMW,0.005076185929452413,0.0001,64,3.545922,,0.08498564523571506
Optuna-tpe,4,completed,1.6141090393066406,4,128,GCN,TANH,MEAN,ADAM,0.000699308945211655,1e-06,32,6.802426,,0.21536983902154389
Optuna-tpe,5,completed,7.1915435791015625,5,32,GATED,RELU,MEAN_MAX,RMSPROP,0.002244691436850661,1e-06,256,0.624473,,0.1815194611729572
Optuna-tpe,6,completed,1.3735791444778442,5,256,GAT,GELU,MEAN,ADAMW,0.003553668469707046,0.0,16,27.979778,,0.1332021368584726
Optuna-tpe,7,completed,6.262448787689209,4,128,GATED,GELU,MAX,SGD,2.020082461969015e-05,1e-05,128,3.058891,,0.2904302092150672
Optuna-tpe,8,completed,1.809958815574646,2,512,GRAPH_SAGE,TANH,MAX,ADAMW,0.0002691832816331873,1e-05,256,0.873463,,0.01867767874326326
Optuna-tpe,9,completed,2.8776071071624756,5,512,GAT,TANH,ADD,ADAM,0.0035301450831246913,0.001,16,16.334938,,0.12495139098072394
Optuna-tpe,10,completed,1.308692455291748,2,512,GATED,TANH,MEAN,ADAMW,0.00013802740040561138,0.001,64,5.121397,,0.11377232162986173
Optuna-tpe,11,completed,2.451446771621704,5,64,GIN,TANH,MEAN,SGD,0.001531158190701274,0.0,32,4.278115,,0.2601086890362278
Optuna-tpe,12,completed,1.225630760192871,5,512,GAT,GELU,ADD,RMSPROP,0.00014939036283103378,1e-06,32,8.306643,,0.33303758779007614
Optuna-tpe,13,completed,4.922491073608398,4,32,GAT,GELU,MEAN,RMSPROP,0.00041363179960683097,0.0001,32,5.275411,,0.3158018802098478
Optuna-tpe,14,completed,9.351395606994629,5,32,GRAPH_SAGE,GELU,MAX,SGD,0.0015908734786406046,0.0001,64,1.701676,,0.32054402470890064
Optuna-tpe,15,completed,2.013404369354248,5,64,GRAPH_SAGE,GELU,ADD,RMSPROP,0.004008146036971054,0.0001,64,3.177453,,0.4368357454078967
Optuna-tpe,16,completed,8.714210510253906,4,512,GRAPH_SAGE,RELU,MEAN_MAX,ADAMW,0.0001473940437685853,0.0001,128,0.968104,,0.375356953265347
Optuna-tpe,17,completed,7.633419990539551,2,512,GATED,GELU,MAX,RMSPROP,0.0008184424783535032,0.001,32,3.917872,,0.4220636310503915
Optuna-tpe,18,completed,6.825632095336914,2,128,GRAPH_SAGE,RELU,MAX,ADAM,2.4864215395565778e-05,1e-06,256,0.431828,,0.3797001853400104
Optuna-tpe,19,completed,7.428081035614014,2,64,GATED,GELU,MAX,ADAMW,0.0037699231017364943,1e-05,16,13.338455,,0.4560251402246359
Optuna-tpe,20,completed,1.6077672243118286,3,256,GCN,RELU,ADD,RMSPROP,0.008676961195264904,0.01,64,5.451672,,0.011679043156562513
Optuna-tpe,21,completed,1.238518238067627,3,512,GAT,TANH,ADD,ADAMW,9.393679399503297e-05,0.001,64,6.280925,,0.08590732094295828
Optuna-tpe,22,completed,1.4044514894485474,3,512,GAT,ELU,ADD,ADAMW,7.191889595739652e-05,0.01,64,6.301189,,0.06464757245144513
Optuna-tpe,23,completed,1.0717170238494873,3,512,GAT,RELU,ADD,ADAMW,5.616378728536594e-05,1e-06,64,6.30861,,0.06524574032539843
Optuna-tpe,24,completed,1.2811129093170166,3,512,GAT,RELU,ADD,ADAMW,4.742527305387063e-05,1e-06,64,8.341998,,0.17088886308168919
Optuna-tpe,25,completed,0.9129647016525269,3,32,GAT,RELU,ADD,ADAMW,0.00022231603775074645,1e-06,32,34.234409,,0.05689482024783665
Optuna-tpe,26,completed,1.0065999031066895,3,32,GAT,RELU,ADD,ADAMW,0.00026419387909159127,1e-06,64,14.941835,,0.06316814287687873
Optuna-tpe,27,completed,0.8042254447937012,3,32,GAT,RELU,ADD,ADAMW,0.0002541349661939776,1e-06,64,27.021388,,0.03085732424477021
Optuna-tpe,28,completed,1.1669479608535767,3,32,GCN,RELU,ADD,ADAMW,0.0003083852475301442,1e-06,32,8.012392,,0.037339113456872644
Optuna-tpe,29,completed,1.0653432607650757,3,32,GIN,RELU,ADD,ADAMW,0.0002180092425603227,1e-06,128,4.760854,,0.0417573869771698
Optuna-tpe,30,completed,1.1634851694107056,3,32,GAT,ELU,ADD,ADAMW,0.00043648474218565354,1e-06,16,28.635772,,0.1696526824305847
Optuna-tpe,31,completed,1.0059090852737427,3,32,GAT,RELU,ADD,ADAMW,0.0005065425360007023,0.0001,64,8.250566,,0.09185725678198349
Optuna-tpe,32,completed,0.9343922734260559,3,32,GAT,RELU,ADD,ADAMW,0.0004960833746053104,1e-06,64,6.909192,,0.0030733569290896934
