method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout,x
BoTorch,0,completed,0.9654738306999207,4,128,GAT,RELU,ADD,ADAM,0.0009913698864487683,1e-05,32,7.6879796590073965,,0.0975833831190315,"[0.5998349177895953, 0.5337135373128004, 0.6034417491746031, 0.09512598435494535, 0.03480244659975351, 0.9116247380419825, 0.5191144680522563, 0.988104281122145, 0.6882100062794558, 0.390333532476126]"
BoTorch,1,completed,1.0076671838760376,3,128,GAT,TANH,MEAN,ADAM,0.0010575881847891342,1e-05,16,24.165680164995138,,0.1665305101545564,"[0.037445878544747346, 0.7922956408014059, 0.5002170980774672, 0.8179226026901925, 0.6824838974681523, 0.9626103475962371, 0.5471953355785362, 0.749727100648996, 0.3501658734021015, 0.6661220406182256]"
BoTorch,2,completed,0.7482869029045105,4,128,GATED,TANH,MEAN,ADAM,0.0005674591450492247,1e-05,16,16.95427284599282,,0.1403094011112614,"[0.4919518864721196, 0.8354943879832292, 0.4175150387274207, 0.8121582761803859, 0.7733780432855362, 0.5834223686639299, 0.2768133446813872, 0.15211758061404146, 0.4917223035553334, 0.5612376044450456]"
BoTorch,3,completed,0.9524376392364502,4,64,GATED,TANH,ADD,ADAM,0.0014563860165968244,1e-05,16,14.854354251991026,,0.20152435786300646,"[0.5874089164503353, 0.06211150893253925, 0.43862545701283295, 0.7688227634465555, 0.07973230118950103, 0.01718733840565989, 0.6861552457097857, 0.060640245155640815, 0.4345277882963331, 0.8060974314520258]"
BoTorch,4,completed,1.119508981704712,3,128,GAT,TANH,MEAN,ADAM,0.0004924803054925076,1e-05,32,19.087831782991998,,0.06182172126398705,"[0.23511390808928756, 0.9386868875565727, 0.797338410917957, 0.5657058897759809, 0.9955678008818218, 0.7940233619082424, 0.21526761283082296, 0.941269728483803, 0.8863091962984408, 0.2472868850559482]"
BoTorch,5,completed,1.197757363319397,5,64,GAT,TANH,MEAN,ADAM,0.0016549281658677416,1e-05,16,28.60505513905082,,0.01884250301725554,"[0.855265556820471, 0.27169771511002994, 0.5798710342498926, 0.683981495942954, 0.7280885574917443, 0.15956751952325587, 0.7416578927308559, 0.015202942450008528, 0.46268365042414594, 0.07537001206902216]"
BoTorch,6,completed,0.8465169072151184,3,64,GATED,RELU,ADD,ADAM,0.0009378604623714652,1e-05,16,15.208519806037657,,0.033856176019739614,"[0.05739237943866693, 0.10454497746370939, 0.2264115895438541, 0.12021534647123033, 0.4730845224594534, 0.7539376254167777, 0.49501697285980595, 0.049871459233412185, 0.41970021114548206, 0.13542470407895846]"
BoTorch,7,completed,0.6788979172706604,3,64,GATED,TANH,MEAN,ADAM,0.002146377608625403,1e-05,32,8.712105566984974,,0.10142701621782013,"[0.19977048314735368, 0.11280785293937323, 0.10427843765622091, 0.7322679621278891, 0.5423873150033914, 0.6618853505575671, 0.8545848743342903, 0.7165441324152627, 0.8987943052006904, 0.4057080648712805]"
BoTorch,8,completed,0.6191613674163818,4,64,GAT,RELU,MEAN,ADAM,0.0007163962141415427,1e-05,16,60.36864985001739,,0.17578534770844473,"[0.6506412692162634, 0.22601684896495555, 0.7563131003211682, 0.1631459807670128, 0.9170878770703983, 0.35401936477812357, 0.3780320273962179, 0.9346073877008197, 0.49057341815334243, 0.7031413908337789]"
BoTorch,9,completed,0.9262909293174744,5,64,GAT,RELU,ADD,ADAM,0.00031984249920972085,1e-05,16,28.356223736016545,,0.011649633898040107,"[0.669044329734981, 0.33717789231430506, 0.7615817560724706, 0.24188277604440678, 0.42711290063650653, 0.6386885982442133, 0.02781491559099225, 0.8289362122718844, 0.08210877069009992, 0.04659853559216043]"
BoTorch,10,completed,2.0758168697357178,4,128,GAT,TANH,ADD,ADAM,0.0006270998177566508,1e-05,16,13.54663660901133,,0.16567893632184094,"[0.5416196989116598, 0.6860968463953314, 0.686579192820668, 0.9173405754034013, 0.08754076743910966, 0.5614899325544285, 0.3202154198440903, 0.3254511765104453, 0.3631688766853163, 0.6627157452873638]"
BoTorch,11,completed,0.7802277207374573,5,64,GAT,RELU,ADD,ADAM,0.000886217740670912,1e-05,32,24.554649350990076,,0.027774898075922955,"[0.9924563617438582, 0.2647748948818669, 0.844212442676927, 0.0785142226822092, 0.2861640332141695, 0.3524828187150678, 0.4704191849483569, 0.33521375792503705, 0.6201287203224332, 0.11109959230369182]"
BoTorch,12,completed,1.0436842441558838,3,128,GATED,TANH,MEAN,ADAM,0.0003259019918419241,1e-05,32,8.753415776009206,,0.10555414095886687,"[0.14051763292711328, 0.557741550968303, 0.3088927165764582, 0.8934607225820592, 0.9015906415856235, 0.24088272363751384, 0.035965760066785535, 0.8469115850879873, 0.5783787858113069, 0.42221656383546746]"
BoTorch,13,completed,0.8932254314422607,3,64,GATED,TANH,ADD,ADAM,0.00043594359266023534,1e-05,32,11.42045264900662,,0.11879281100868752,"[0.30503698741781804, 0.40315911563984164, 0.27316491250612607, 0.6373841688401568, 0.09227419376450485, 0.8534197252187571, 0.16230904422505632, 0.38859961383432895, 0.8573386088062677, 0.4751712440347501]"
BoTorch,14,completed,0.6125692129135132,5,128,GATED,TANH,MEAN,ADAM,0.0007759162235015551,1e-05,16,34.87923292402411,,0.10955814209127909,"[0.9255653744646025, 0.732090204246904, 0.16702904654991912, 0.504096141189094, 0.8915366971207488, 0.4357161608203941, 0.4126935778334885, 0.6139777420428573, 0.49201849525249564, 0.43823256836511637]"
BoTorch,15,completed,1.0358346700668335,3,64,GAT,TANH,ADD,ADAM,0.0004614489319472017,1e-05,32,18.778060025011655,,0.13452167546598187,"[0.3303461541499765, 0.2895999690063975, 0.877984199878857, 0.6968540934132207, 0.43774444467569273, 0.10797865959257835, 0.18700239040234212, 0.05184040051713701, 0.8364108799011759, 0.5380867018639275]"
BoTorch,16,completed,1.6165966987609863,3,64,GAT,TANH,MEAN,ADAM,0.0009488811622405512,1e-05,32,13.65819869801635,,0.22713935462130483,"[0.157678528911676, 0.03142570801874611, 0.9959564317949711, 0.7959658777861083, 0.8941550087359459, 0.6953995162969618, 0.500090570126084, 0.599621416995846, 0.6508482499503043, 0.9085574184852193]"
BoTorch,17,completed,1.0318411588668823,5,64,GAT,TANH,ADD,ADAM,0.0015960851354510732,1e-05,32,28.581667358987033,,0.13806947510343945,"[0.7695330161720859, 0.33713288561528376, 0.8165658473787287, 0.5113729370181155, 0.39771428893723404, 0.20975359931163962, 0.7259347982540091, 0.8130673328328294, 0.6606935975480024, 0.5522779004137578]"
BoTorch,18,completed,0.5576658248901367,4,64,GATED,RELU,MEAN,ADAM,0.0013013193758790703,1e-05,16,22.700090844009537,,0.15281351450091704,"[0.35657592283329353, 0.18836635326428508, 0.41348549052113837, 0.14668064799285185, 0.762982022803915, 0.6857004891486543, 0.6372626415036834, 0.7572164616057806, 0.1351662661413675, 0.6112540580036682]"
BoTorch,19,completed,0.937528669834137,4,128,GAT,RELU,ADD,ADAM,0.0018429906823226713,1e-05,32,10.313742176047526,,0.05705461733796921,"[0.6458352921971725, 0.5434682448928214, 0.7041764381626049, 0.07107980521829738, 0.27468522886432556, 0.9799918809020208, 0.7884018848260105, 0.02733467924406008, 0.9966835819456917, 0.22821846935187684]"
BoTorch,20,completed,0.55750572681427,4,128,GATED,RELU,MEAN,ADAM,0.0006336797745245685,1e-05,32,18.162142881017644,,0.17269193183161108,"[0.628917306706423, 0.8116659145652321, 0.3173654190988981, 0.49633006499713567, 1.0, 0.6481407107606464, 0.324748591031818, 0.403491685553328, 0.5151943190501284, 0.6907677273264443]"
BoTorch,21,completed,0.7500725388526917,5,64,GAT,RELU,MEAN,ADAM,0.0007780734489139899,1e-05,16,61.09141059400281,,0.14808065268763615,"[0.7070640168449014, 0.4355478165258654, 0.5353292059407841, 0.02444167711948475, 0.8538275666354267, 0.4990552216434556, 0.41389934092352, 1.0, 0.44445398748953124, 0.5923226107505446]"
BoTorch,22,completed,0.5505895614624023,4,64,GATED,RELU,MEAN,ADAM,0.002286190995445018,1e-05,16,22.838359820016194,,0.1638743070505339,"[0.5321282441621247, 0.1830640321848024, 0.29549910581897243, 0.49367426655120866, 0.7984070855253921, 0.6261032355685279, 0.8819912551553774, 0.597126654222016, 0.0, 0.6554972282021356]"
BoTorch,23,completed,0.6736315488815308,5,128,GATED,TANH,MEAN,ADAM,0.0006178614261625162,1e-05,16,22.00660283700563,,0.07060745951448141,"[1.0, 1.0, 0.20972959226158414, 0.7402432022349607, 0.8043361264924005, 0.6386185063454197, 0.3137698278105159, 0.0, 0.25056792066100747, 0.28242983805792565]"
