method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout,x
Random,0,completed,0.8693727850914001,4,128,GATED,TANH,MEAN,ADAM,0.0006352828567979617,1e-05,32,10.424608881992754,,0.21261229751189126,"[0.480140045954182, 0.7290583052940489, 0.3248577716464135, 0.7885132649294548, 0.8731030757996147, 0.12059690112603383, 0.3258458812727668, 0.21957797467393547, 0.7306018481408274, 0.850449190047565]"
Random,1,completed,0.5651791095733643,5,64,GATED,TANH,MEAN,ADAM,0.0003812009878996761,1e-05,16,41.86623263300862,,0.23445268364965602,"[0.7407771885618633, 0.1589971219344637, 0.04050423216753485, 0.9024854452238827, 0.5071231703276657, 0.250803786124015, 0.10403276274196238, 0.5847242761298628, 0.17568941998045529, 0.9378107345986241]"
Random,2,completed,0.7580283284187317,5,64,GAT,TANH,MEAN,ADAM,0.001921127078269481,1e-05,16,44.365122732007876,,0.017822099724974477,"[0.8684250057879213, 0.14127689160523382, 0.7640152798480716, 0.8851876142420034, 0.753457562480962, 0.021767187009218203, 0.8064348387031126, 0.8104705144859233, 0.13752968629209283, 0.07128839889989791]"
Random,3,completed,0.7417187690734863,3,128,GATED,TANH,ADD,ADAM,0.0014151256170683172,1e-05,16,17.97268585098209,,0.16752699904154672,"[0.1318102010438994, 0.5682589810622674, 0.02156792437398214, 0.5510891614769029, 0.05828158350552137, 0.06074494766306371, 0.6736737380580928, 0.4760986166218647, 0.466801821249449, 0.6701079961661869]"
Random,4,completed,0.6283527612686157,4,64,GATED,TANH,MEAN,ADAM,0.002414272985694234,1e-05,16,18.97848965099547,,0.06443116357659318,"[0.4305398478436423, 0.17482991260824088, 0.0027525844961506785, 0.9082511003946196, 0.7899556883203028, 0.42191562991556886, 0.9056651201873693, 0.868388192672343, 0.4094491030995002, 0.2577246543063727]"
Random,5,completed,0.88309246301651,4,64,GATED,RELU,ADD,ADAM,0.00044433547705352984,1e-05,32,14.695950664987322,,0.22501698694599365,"[0.6527466074814352, 0.09777877335798435, 0.06808382875150565, 0.05925467472970036, 0.36393564249446186, 0.7069764144220854, 0.17058973525646848, 0.46990669737013746, 0.7101625462240694, 0.9000679477839746]"
Random,6,completed,0.8917147517204285,3,128,GATED,RELU,MEAN,ADAM,0.0020120702878615206,1e-05,16,15.440731251030229,,0.19032144182206362,"[0.04609415208496881, 0.9695018694977593, 0.0862434519296077, 0.4473107357610533, 0.8550298669330327, 0.9639022548633311, 0.8265218931837199, 0.6885923325540988, 0.19975020765723217, 0.7612857672882545]"
Random,7,completed,0.848181962966919,3,128,GAT,TANH,MEAN,ADAM,0.00219984359099679,1e-05,16,34.315257197013125,,0.1871803064867133,"[0.16106225957614106, 0.6533999460347361, 0.9287875996382622, 0.618726522730123, 0.6054561825592073, 0.002826163046080632, 0.8652705488380964, 0.7887134081723092, 0.14541449603363032, 0.7487212259468532]"
Random,8,completed,1.7426749467849731,3,64,GAT,TANH,ADD,ADAM,0.000579179541996881,1e-05,32,12.004538570996374,,0.18144335419057206,"[0.22796314930569117, 0.32437101141791747, 0.7249498985328724, 0.5776965065642142, 0.24879432549570157, 0.1628356068391179, 0.2856919584231923, 0.5717630078272515, 0.6286585156482112, 0.7257734167622882]"
Random,9,completed,0.7418313026428223,5,64,GAT,RELU,ADD,ADAM,0.0003787686691356803,1e-05,16,51.92405127402162,,0.08382092410075609,"[0.9094752083302466, 0.12185332143596406, 0.9503528907344033, 0.46359472194772766, 0.1190206217624199, 0.6768445665643646, 0.10125279326671033, 0.6143874358910796, 0.2044709525214693, 0.33528369640302436]"
Random,10,completed,0.8588148951530457,5,64,GATED,TANH,MEAN,ADAM,0.0005248720609530986,1e-05,32,12.252347585977986,,0.2030735387019111,"[0.8697810807897787, 0.2884440631046562, 0.24903840712908876, 0.6875367484514671, 0.877776557326168, 0.6671528208900721, 0.24293220107984614, 0.5354813963150722, 0.8358552775915121, 0.8122941548076444]"
Random,11,completed,0.8376380801200867,3,128,GAT,RELU,MEAN,ADAM,0.00037131099188255376,1e-05,32,21.590901429008227,,0.09872005915472332,"[0.005638854662952886, 0.9230222688971967, 0.8267702072474816, 0.02481297462233667, 0.7555698355297497, 0.7316809591242086, 0.09261655107337019, 0.044930627562195236, 0.7498703095035295, 0.39488023661889327]"
