method,trial,status,validation_loss,num_layers,hidden_dim,layer_type,activation,pooling,optimizer_type,learning_rate,weight_decay,batch_size,elapsed_seconds,error,dropout
Optuna-tpe,0,completed,1.6703599691390991,3,64,GAT,TANH,ADD,ADAM,0.0009501674034790588,1e-05,32,10.622038,,0.10406496801910428
Optuna-tpe,1,completed,1.1079723834991455,3,128,GAT,TANH,ADD,ADAM,0.001668946091219763,1e-05,32,8.192633,,0.0796610627086615
Optuna-tpe,2,completed,1.1152517795562744,3,128,GAT,TANH,ADD,ADAM,0.0004045874992397058,1e-05,16,21.106217,,0.09026300501130749
Optuna-tpe,3,completed,0.7171821594238281,5,64,GAT,TANH,MEAN,ADAM,0.0016217200924191616,1e-05,16,44.633293,,0.06778218859180515
Optuna-tpe,4,completed,0.6115269064903259,3,128,GATED,RELU,MEAN,ADAM,0.0007854907116673661,1e-05,16,18.758292,,0.16180091379665748
Optuna-tpe,5,completed,1.6274845600128174,5,64,GAT,TANH,MEAN,ADAM,0.0005646770704112123,1e-05,16,32.603428,,0.11190387599241533
Optuna-tpe,6,completed,0.6033869385719299,5,64,GATED,TANH,MEAN,ADAM,0.00041468118139456687,1e-05,32,25.520111,,0.18758167075774143
Optuna-tpe,7,completed,0.7411677241325378,5,64,GATED,RELU,ADD,ADAM,0.0010961897056873504,1e-05,16,26.156697,,0.1896871749728702
Optuna-tpe,8,completed,0.8766505718231201,4,128,GATED,TANH,ADD,ADAM,0.00038422132459240305,1e-05,32,12.205586,,0.21221562760798784
Optuna-tpe,9,completed,0.7988469004631042,3,128,GATED,RELU,ADD,ADAM,0.00033121314973524483,1e-05,16,25.416747,,0.18218044622108465
Optuna-tpe,10,completed,0.7769962549209595,5,64,GAT,RELU,ADD,ADAM,0.0010633339359660628,1e-05,16,48.139154,,0.15126550625829072
Optuna-tpe,11,completed,0.7956059575080872,4,64,GATED,TANH,MEAN,ADAM,0.0005014252573445632,1e-05,32,15.236522,,0.24683935318500155
Optuna-tpe,12,completed,0.8782390356063843,3,128,GATED,RELU,ADD,ADAM,0.00034476200473854514,1e-05,16,22.502271,,0.23555308153681415
Optuna-tpe,13,completed,0.6284303069114685,5,64,GAT,RELU,MEAN,ADAM,0.0003494313232743389,1e-05,16,96.740205,,0.1726304159955697
Optuna-tpe,14,completed,0.5989176630973816,3,128,GATED,RELU,MEAN,ADAM,0.0025331222505212527,1e-05,32,8.00256,,0.17874446823649717
Optuna-tpe,15,completed,0.8044169545173645,5,128,GAT,RELU,MEAN,ADAM,0.0003451796022461168,1e-05,32,28.822314,,0.16844511095404732
Optuna-tpe,16,completed,1.420544147491455,5,64,GAT,TANH,ADD,ADAM,0.002974449329081565,1e-05,32,14.387288,,0.1361836844899806
Optuna-tpe,17,completed,0.8018988370895386,5,64,GATED,RELU,ADD,ADAM,0.0003243977183509695,1e-05,16,41.399866,,0.17409752378658822
Optuna-tpe,18,completed,1.177079439163208,5,128,GAT,TANH,ADD,ADAM,0.0004386436539861915,1e-05,16,51.7185,,0.1435136538384412
Optuna-tpe,19,completed,0.9912196397781372,5,64,GAT,RELU,ADD,ADAM,0.00036473783298721367,1e-05,16,28.254654,,0.24189800958354366
Optuna-tpe,20,completed,0.651256263256073,4,128,GATED,TANH,MEAN,ADAM,0.002796081258118237,1e-05,32,6.835229,,0.017279598711295696
Optuna-tpe,21,completed,0.685996949672699,4,128,GATED,RELU,MEAN,ADAM,0.0007035085322452711,1e-05,32,11.535854,,0.20648530250061364
Optuna-tpe,22,completed,0.6035181283950806,3,128,GATED,RELU,MEAN,ADAM,0.0007372628337946876,1e-05,32,13.446153,,0.209845087097454
Optuna-tpe,23,completed,1.010620355606079,4,128,GATED,RELU,MEAN,ADAM,0.0014562711394854385,1e-05,32,5.90459,,0.21116577034403913
Optuna-tpe,24,completed,2.205390214920044,3,128,GATED,RELU,MEAN,ADAM,0.0006776341286806085,1e-05,32,3.335433,,0.20004751127757484
Optuna-tpe,25,completed,0.7634376287460327,4,128,GATED,RELU,MEAN,ADAM,0.0022419877291317393,1e-05,32,16.315729,,0.12711377621187578
Optuna-tpe,26,completed,0.569709837436676,3,128,GATED,RELU,MEAN,ADAM,0.0012865042498549774,1e-05,32,16.582725,,0.23232485787795523
Optuna-tpe,27,completed,0.6102473735809326,4,128,GATED,RELU,MEAN,ADAM,0.0012941360445078982,1e-05,32,9.648061,,0.23817820017522756
Optuna-tpe,28,completed,1.0133355855941772,3,64,GATED,TANH,MEAN,ADAM,0.001765248969623734,1e-05,32,4.856179,,0.22549852182670366
Optuna-tpe,29,completed,0.5266736745834351,3,64,GATED,TANH,MEAN,ADAM,0.0024395202612770488,1e-05,32,10.269168,,0.19115191262928788
Optuna-tpe,30,completed,0.4946347177028656,3,128,GATED,RELU,MEAN,ADAM,0.0021333955419457025,1e-05,32,10.395897,,0.2223302475318911
Optuna-tpe,31,completed,0.7913913130760193,3,128,GATED,RELU,MEAN,ADAM,0.002189417151833791,1e-05,32,13.503753,,0.22460979090599592
Optuna-tpe,32,completed,0.6665585041046143,3,128,GATED,RELU,MEAN,ADAM,0.0022240406144004208,1e-05,32,8.798012,,0.22043643852198072
Optuna-tpe,33,completed,0.7336362600326538,3,128,GATED,RELU,MEAN,ADAM,0.0025201958435773883,1e-05,32,7.246317,,0.19113583706412646
Optuna-tpe,34,completed,0.8206706643104553,3,128,GATED,RELU,MEAN,ADAM,0.0019115828565258,1e-05,32,5.673354,,0.15738984370769868
Optuna-tpe,35,completed,0.7743255496025085,3,128,GATED,TANH,MEAN,ADAM,0.0019812494459872545,1e-05,32,7.234105,,0.03956463892588971
Optuna-tpe,36,completed,0.6185972690582275,3,128,GATED,RELU,MEAN,ADAM,0.0014558334708413595,1e-05,32,11.922376,,0.22656606293845066
Optuna-tpe,37,completed,0.6609421372413635,3,128,GATED,TANH,MEAN,ADAM,0.0025578226532092675,1e-05,32,8.0208,,0.10998135194293022
Optuna-tpe,38,completed,0.628204345703125,3,64,GATED,RELU,MEAN,ADAM,0.0008760301492767761,1e-05,32,11.091783,,0.08734935934515933
Optuna-tpe,39,completed,0.719964861869812,3,128,GATED,TANH,MEAN,ADAM,0.0015933605830258987,1e-05,32,7.230482,,0.2001578678260211
Optuna-tpe,40,completed,0.6852071285247803,3,64,GATED,RELU,MEAN,ADAM,0.0011931141603106145,1e-05,32,11.134081,,0.18139895228934771
Optuna-tpe,41,completed,0.6475854516029358,3,64,GATED,TANH,MEAN,ADAM,0.0025575703877566405,1e-05,32,6.400105,,0.1886635525119256
Optuna-tpe,42,completed,0.48072800040245056,4,64,GATED,TANH,MEAN,ADAM,0.0009403274303661115,1e-05,32,15.155497,,0.1957827376459269
Optuna-tpe,43,completed,0.7298025488853455,4,64,GATED,TANH,MEAN,ADAM,0.0009913228509444327,1e-05,32,10.502479,,0.21975468895902953
Optuna-tpe,44,completed,1.258770227432251,3,64,GATED,TANH,MEAN,ADAM,0.0006135748386255219,1e-05,32,6.375111,,0.19450945604044362
Optuna-tpe,45,completed,1.0824341773986816,4,64,GATED,TANH,MEAN,ADAM,0.000928954209107092,1e-05,32,7.670988,,0.24971698476170973
Optuna-tpe,46,completed,0.5230141878128052,3,64,GATED,TANH,MEAN,ADAM,0.0018384019793144025,1e-05,32,12.506624,,0.1616279263641555
